Signal,Pin,,Pin,Signal
PCIE_RST_N,Pin 1,,Pin 2,CSI3_C+/DSI2_C+/LVDS_CLK_P/EDP_AUX_P
PCIE0_REFCLK+,Pin 3,,Pin 4,CSI3_C-/DSI2_C-/LVDS_CLK_N/EDP_AUX_N
PCIE0_REFCLK-,Pin 5,,Pin 6,GND
PCIE0_RX0_+,Pin 7,,Pin 8,CSI3_D0+/DSI2_D0+/LVDS_D0_P/EDP_TX0_P
PCIE0_RX0-,Pin 9,,Pin 10,CSI3_D0-/DSI2_D0-/LVDS_D0_N/EDP_TX0_N
PCIE0_TX0+,Pin 11,,Pin 12,GND
PCIE0_TX0-,Pin 13,,Pin 14,CSI3_D1+/DSI2_D1+/LVDS_D1_P/EDP_TX1_P
GND,Pin 15,,Pin 16,CSI3_D1-/DSI2_D1-/LVDS_D1_N/EDP_TX1_N
PCIE0_RX1+,Pin 17,,Pin 18,GND
PCIE0_RX1-,Pin 19,,Pin 20,CSI3_D2+/DSI2_D2+/LVDS_D2_P/EDP_TX2_P
PCIE0_TX1+,Pin 21,,Pin 22,CSI3_D2-/DSI2_D2-/LVDS_D2_N/EDP_TX2_N
PCIE0_TX1-,Pin 23,,Pin 24,GND
GND,Pin 25,,Pin 26,CSI3_D3+/DSI2_D3+/LVDS_D3_P/EDP_TX3_P
CLK2/CSI2_MCLK,Pin 27,,Pin 28,CSI3_D3-/DSI2_D3-/LVDS_D3_N/EDP_TX3_N
CLK3/CSI3_MCLK,Pin 29,,Pin 30,GND
GND,Pin 31,,Pin 32,SPI2_CLK/I2C4_SCL(sensor)/TP_INT
CSI2_C+,Pin 33,,Pin 34,SPI2_CS/I2C4_SDA/TP_RST
CSI2_C-,Pin 35,,Pin 36,SPI2_SDO/I2C5_SCL
GND,Pin 37,,Pin 38,SPI2_SDI/I2C5_SDA
CSI2_D0+,Pin 39,,Pin 40,GPIO_V(CSI2_RST)
CSI2_D0-,Pin 41,,Pin 42,GPIO_W(CSI2_PWDN)
GND,Pin 43,,Pin 44,GPIO_X(CSI3_PWDN)/DSI2_BLCTL/LVDS_BKLT/EDP_BKLT
CSI2_D1+,Pin 45,,Pin 46,GPIO_Y(CSI3_RST)/DSI_VSYNC/LVDS_BKLT_PWM/EDP_BKLT_PWM
CSI2_D1-,Pin 47,,Pin 48,PCIE_CLK_REQ
GND,Pin 49,,Pin 50,PCIE_WAKE_N
CSI2_D2+,Pin 51,,Pin 52,USB0_SS_TX0+
CSI2_D2-,Pin 53,,Pin 54,USB0_SS_TX0-
GND,Pin 55,,Pin 56,GND
CSI2_D3+,Pin 57,,Pin 58,USB0_SS_RX0+
CSI2_D3-,Pin 59,,Pin 60,USB0_SS_RX0-
