Signal,Pin,,Pin,Signal
GND,Pin 1,,Pin 2,GND
UART0_CTS,Pin 3,,Pin 4,PWR_BTN_N
UART0_TxD,Pin 5,,Pin 6,RST_BTN_N
UART0_RxD,Pin 7,,Pin 8,SPI0_SCLK
UART0_RTS,Pin 9,,Pin 10,SPI0_DIN
UART1_TxD,Pin 11,,Pin 12,SPI0_CS
UART1_RxD,Pin 13,,Pin 14,SPI0_DOUT
I2C0_SCL,Pin 15,,Pin 16,PCM_FS
I2C0_SDA,Pin 17,,Pin 18,PCM_CLK
I2C1_SCL,Pin 19,,Pin 20,PCM_DO
I2C1_SDA,Pin 21,,Pin 22,PCM_DI
GPIO-A,Pin 23,,Pin 24,GPIO-B
GPIO-C,Pin 25,,Pin 26,GPIO-D
GPIO-E,Pin 27,,Pin 28,GPIO-F
GPIO-G,Pin 29,,Pin 30,GPIO-H
GPIO-I,Pin 31,,Pin 32,GPIO-J
GPIO-K,Pin 33,,Pin 34,GPIO-L
+1V8,Pin 35,,Pin 36,SYS_DCIN
+5V,Pin 37,,Pin 38,SYS_DCIN
GND,Pin 39,,Pin 40,GND
